[2017-07-18 10:14:22]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE '삼성%']
[2017-07-18 10:15:47]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE '삼성%']
[2017-07-18 10:24:17]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE 'wdf%']
[2017-07-18 10:46:36]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE 'fgdfg%']
[2017-07-18 10:46:43]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE 'fgdfg%']
[2017-07-18 10:50:05]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE '삼성%']
[2017-07-18 13:43:31]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE '삼성%']
[2017-07-18 13:43:49]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE '키움%']
[2017-07-18 13:48:18]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE '키움%']
[2017-07-18 13:54:00]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE '삼성전자%']
[2017-07-18 13:55:34]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE '삼성전자%']
[2017-07-18 15:53:21]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE '삼성%']
[2017-07-18 15:54:08]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE '키움%']
[2017-07-18 15:55:08]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE '세화아이%']
[2017-07-18 15:58:50]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE '삼성전자%']
[2017-07-18 15:58:58]BtnJMCodeSeach_Click : [SELECT JONGMOK_CD, JONGMOK_NM, MARKET_NM FROM XEDBA.JONGMOK_LIST WHERE JONGMOK_NM LIKE '키움증권%']
